selts_lk	selts_ek	sugukond_lk	sugukond_ek	nimi_lk	nimi_ek	nimi_ik
Piciformes	rähnilised	Lybiidae	udelindlased	Cryptolybia olivacea, Stactolaema olivacea	oliiv-udelind	Green Barbet, African Green Barbet, Olive Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Gymnobucco bonapartei	hallkurk-udelind	Grey-throated Barbet, Bonaparte's Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Gymnobucco bonapartei cinereiceps, Gymnobucco cinereiceps	hallpea-udelind	Grey-headed Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Gymnobucco calvus	kiilas-udelind	Naked-faced Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Gymnobucco peli	harjas-udelind	Bristle-nosed Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Gymnobucco sladeni	kongo udelind	Sladen's Barbet, Zaire Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Lybius chaplini	sükomoori-udelind	Chaplin's Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Lybius guifsobalito	tõmmu-udelind	Black-billed Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Lybius leucocephalus	valgepea-udelind	White-headed Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Lybius rubrifacies	punapale-udelind	Red-faced Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Lybius torquatus	krae-udelind	Black-collared Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Lybius undatus	etioopia udelind	Banded Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Lybius vieilloti	veri-udelind	Vieillot's Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Pogoniulus atroflavus, Pogoniulus erythronotos	punapära-udelind	Red-rumped Tinkerbird
Piciformes	rähnilised	Lybiidae	udelindlased	Pogoniulus bilineatus	välu-udelind	Yellow-rumped Tinkerbird, Golden-rumped Tinkerbird, Golden-rumped Tinkerbarbet
